VC Zwolle,,25000,Hoofdtaak voor aansturing en organisatie van de vereniging.,25-5-2026,30-6-2027
2026-2027,VC Zwolle,7040,Besturen van de vereniging in seizoen 2026-2027,25-5-2026,30-6-2027
Bestuur,2026-2027,7040,Algemeen bestuur en eindverantwoordelijkheid voor de vereniging.,25-5-2026,30-6-2027
Bestuurslid facilitair,Bestuur,3000,Verantwoordelijk voor facilitaire zaken binnen het bestuur,25-5-2026,30-6-2027
Bestuurslid communicatie,Bestuur,200,Verantwoordelijk voor communicatie vanuit de vereniging,,
Penningmeester,Bestuur,100,"Financieel beheer, begroting en verantwoording van de vereniging.",25-5-2026,30-6-2027
Secretaris,Bestuur,20,Secretariële organisatie en administratie van de vereniging.,25-5-2026,30-6-2027
Technische zaken,Bestuur,20,Verantwoordelijkheid voor Technische zaken binnen Bestuur.,25-5-2026,30-6-2027
Voorzitter,Bestuur,20,"Voorzitterschap, koersbewaking en afstemming binnen het bestuur.",25-5-2026,30-6-2027
Scheidrechterzaken,Technische zaken,20,Verantwoordelijkheid voor scheidsrechterzaken binnen Bestuur.,25-5-2026,30-6-2027
Scheidsrechter in opleiding,Scheidrechterzaken,10,Scheidsrechter in opleiding,25-5-2026,30-6-2027
Scheidsrechter in opleiding,Scheidrechterzaken,10,Scheidsrechter in opleiding,25-5-2026,30-6-2027
Regioscheidsrechter (VS3, VS2-2),Scheidrechterzaken,5,Regioscheidsrechter (VS3, VS2-2),25-5-2026,30-6-2027
Scheidsrechter senioren 1e klasse en lager,Scheidrechterzaken,4,Scheidsrechter senioren 1e klasse en lager,25-5-2026,30-6-2027
Template thuisspeeldag,Bestuurslid facilitair,20,Template thuisspeeldag,1-8-2026,1-8-2026
Scheidsrechter jeugd,Template thuisspeeldag,4,Scheidsrechter jeugd,1-8-2026,1-8-2026
Scheidsrechter volley stars, template thuisspeeldag,4,Scheidsrechter volley stars,1-8-2026,1-8-2026
Wedstrijdorganisatie volley stars,Template thuisspeeldag,10,Wedstrijdorganisatie volley stars,1-8-2026,1-8-2026
Zaalwacht, template thuisspeeldag,4,Zaalwacht,1-8-2026,1-8-2026
Bardienst thuisspeeldagen, template thuisspeeldag,4,Bardienst thuisspeeldagen,1-8-2026,1-8-2026
Functioneel beheer inzetadministratie,Secretaris,20,functioneel beheer ledenadministratie,25-5-2026,30-6-2027
Redatie Nieuwsbrieven en website,Bestuurslid communicatie,15,Redactie Nieuwsbrieven en website,25-5-2026,30-6-2027
Redactie Social media,Bestuurslid communicatie,12,Redactie Social media,25-5-2026,30-6-2027
Materiaalbeheerder,Bestuurslid facilitair,10,Materiaalbeheerder,25-5-2026,30-6-2027
Coördinatie Volleystars,Technische zaken,20,Coördinatie Volleystars,25-5-2026,30-6-2027
