"VC Zwolle", "", "25000", "Hoofdtaak voor aansturing en organisatie van de vereniging.", "01-07-2024 00:00", "30-06-2025 23:59"
"2024-2025", "VC Zwolle", "7040", "Besturen van de vereniging in seizoen 2024-2025.", "01-07-2024 00:00", "30-06-2025 23:59"
"Bestuur", "2024-2025", "6480", "Algemeen bestuur en eindverantwoordelijkheid voor de vereniging.", "01-07-2024 00:00", "30-06-2025 23:59"
"Algemeen bestuurslid", "Bestuur", "100", "Verantwoordelijkheid voor Algemeen bestuurslid binnen Bestuur.", "01-07-2024 00:00", "30-06-2025 23:59"
"Penningmeester", "Bestuur", "220", "Financieel beheer, begroting en verantwoording van de vereniging.", "01-07-2024 00:00", "30-06-2025 23:59"
"Secretaris", "Bestuur", "460", "Secretariële organisatie, communicatie en administratie van de vereniging.", "01-07-2024 00:00", "30-06-2025 23:59"
"Technische zaken", "Bestuur", "4840", "Verantwoordelijkheid voor Technische zaken binnen Bestuur.", "01-07-2024 00:00", "30-06-2025 23:59"
"Voorzitter", "Bestuur", "220", "Voorzitterschap, koersbewaking en afstemming binnen het bestuur.", "01-07-2024 00:00", "30-06-2025 23:59"
"CMV N3", "Coördinatie CMV", "160", "Coördinatie en ondersteuning van team CMV N3.", "01-07-2024 00:00", "30-06-2025 23:59"
"CMV N4", "Coördinatie CMV", "160", "Coördinatie en ondersteuning van team CMV N4.", "01-07-2024 00:00", "30-06-2025 23:59"
"CMV N5", "Coördinatie CMV", "160", "Coördinatie en ondersteuning van team CMV N5.", "01-07-2024 00:00", "30-06-2025 23:59"
"CMV N6", "Coördinatie CMV", "160", "Coördinatie en ondersteuning van team CMV N6.", "01-07-2024 00:00", "30-06-2025 23:59"
"Organisatie CMV toernooien", "Coördinatie CMV", "20", "Verantwoordelijkheid voor Organisatie CMV toernooien binnen Coördinatie CMV.", "01-07-2024 00:00", "30-06-2025 23:59"
"Kascommissie", "Penningmeester", "100", "Coördinatie en uitvoering van kascommissie.", "01-07-2024 00:00", "30-06-2025 23:59"
"Ondersteunen penningmeester", "Penningmeester", "20", "Verantwoordelijkheid voor Ondersteunen penningmeester binnen Penningmeester.", "01-07-2024 00:00", "30-06-2025 23:59"
"Recreanten 1", "Recreanten", "160", "Coördinatie en ondersteuning van team Recreanten 1.", "01-07-2024 00:00", "30-06-2025 23:59"
"Recreanten 2", "Recreanten", "160", "Coördinatie en ondersteuning van team Recreanten 2.", "01-07-2024 00:00", "30-06-2025 23:59"
"Recreanten 3", "Recreanten", "160", "Coördinatie en ondersteuning van team Recreanten 3.", "01-07-2024 00:00", "30-06-2025 23:59"
"Activiteitencommissie", "Secretaris", "100", "Coördinatie en uitvoering van activiteitencommissie.", "01-07-2024 00:00", "30-06-2025 23:59"
"Communcatie", "Secretaris", "20", "Verantwoordelijkheid voor Communcatie binnen Secretaris.", "01-07-2024 00:00", "30-06-2025 23:59"
"Kledingcommissie", "Secretaris", "100", "Coördinatie en uitvoering van kledingcommissie.", "01-07-2024 00:00", "30-06-2025 23:59"
"Ledenadministratie", "Secretaris", "100", "Beheer en uitvoering van ledenadministratie.", "01-07-2024 00:00", "30-06-2025 23:59"
"Verenigingsscheidsrechter", "Secretaris", "40", "Verantwoordelijkheid voor Verenigingsscheidsrechter binnen Secretaris.", "01-07-2024 00:00", "30-06-2025 23:59"
"Dames 2", "TC Dames", "160", "Coördinatie en ondersteuning van team Dames 2.", "01-07-2024 00:00", "30-06-2025 23:59"
"Dames 3", "TC Dames", "160", "Coördinatie en ondersteuning van team Dames 3.", "01-07-2024 00:00", "30-06-2025 23:59"
"Dames 4", "TC Dames", "160", "Coördinatie en ondersteuning van team Dames 4.", "01-07-2024 00:00", "30-06-2025 23:59"
"Dames 5", "TC Dames", "160", "Coördinatie en ondersteuning van team Dames 5.", "01-07-2024 00:00", "30-06-2025 23:59"
"Dames 6", "TC Dames", "160", "Coördinatie en ondersteuning van team Dames 6.", "01-07-2024 00:00", "30-06-2025 23:59"
"Dames 7", "TC Dames", "160", "Coördinatie en ondersteuning van team Dames 7.", "01-07-2024 00:00", "30-06-2025 23:59"
"Dames 9", "TC Dames", "160", "Coördinatie en ondersteuning van team Dames 9.", "01-07-2024 00:00", "30-06-2025 23:59"
"Heren 1", "TC Heren", "160", "Coördinatie en ondersteuning van team Heren 1.", "01-07-2024 00:00", "30-06-2025 23:59"
